Code,Family,Species,Sex,Location,Total_body_length,Prosoma_length,Prosoma_width,Prosoma_height,Tibia_I_length,Fang_length
PP4PH,Linyphidae,Metopobactrus_prominulus,male,Iberian Pen.,1.700,"0,660-0,830**",0.550,"0,270-0,360**",0.500,0.110
PP2B1N2,Linyphidae,Metopobactrus_prominulus,female,Iberian Pen.,_,0.750,0.670,_,_,_
PP2PC,Linyphidae,Metopobactrus_prominulus,female,Iberian Pen.,_,0.770,0.610,0.300,0.470,0.120
PP2PJ,Linyphidae,Metopobactrus_prominulus,female,Iberian Pen.,1.840,0.760,0.640,0.250,0.490,0.120
PS1PD,Gnaphosidae,Micaria_albovittata,male,Iberian Pen.,4.560,_,_,_,_,_
PS1PL,Gnaphosidae,Micaria_albovittata,male,Iberian Pen.,5.040,2.440,1.550,1.100,1.730,0.390
PS2PE,Gnaphosidae,Micaria_albovittata,male,Iberian Pen.,4.160,_,_,_,_,_
PS2PI,Gnaphosidae,Micaria_albovittata,male,Iberian Pen.,5.120,_,_,_,_,_
PS2PG,Gnaphosidae,Micaria_albovittata,male,Iberian Pen.,5.880,_,_,_,_,_
PS2PE,Gnaphosidae,Micaria_albovittata,female,Iberian Pen.,6.080,_,_,_,_,_
PS2PG,Gnaphosidae,Micaria_albovittata,female,Iberian Pen.,7.040,_,_,_,_,_
PS1PJ,Gnaphosidae,Micaria_albovittata,female,Iberian Pen.,6.760,_,_,_,_,_
PS2PC,Gnaphosidae,Micaria_albovittata,female,Iberian Pen.,5.560,_,_,_,_,_
PS2PA,Gnaphosidae,Micaria_albovittata,female,Iberian Pen.,6.160,1.180,1.950,1.370,1.550,0.380
PC2PK,Gnaphosidae,Micaria_brignolii,male,Iberian Pen.,1.980,0.970,0.720,0.500,_,0.170
PA1PA,Gnaphosidae,Micaria_fulgens,male,Iberian Pen.,4.590,_,_,_,_,_
PA1PI,Gnaphosidae,Micaria_fulgens,male,Iberian Pen.,3.810,_,_,_,_,_
PA2PK,Gnaphosidae,Micaria_fulgens,male,Iberian Pen.,3.060,_,_,_,_,_
PP2PC,Gnaphosidae,Micaria_fulgens,male,Iberian Pen.,4.500,2.380,1.480,1.220,1.220,0.420
PP3PA,Gnaphosidae,Micaria_fulgens,male,Iberian Pen.,4.060,2.130,1.420,0.980,1.130,0.330
PA1PJ,Gnaphosidae,Micaria_fulgens,female,Iberian Pen.,4.000,_,_,_,_,_
PA2PG,Gnaphosidae,Micaria_fulgens,female,Iberian Pen.,5.250,2.180,1.440,1.030,0.900,0.330
PA2PH,Gnaphosidae,Micaria_fulgens,female,Iberian Pen.,4.810,_,_,_,_,_
PP4PL,Gnaphosidae,Micaria_fulgens,female,Iberian Pen.,5.810,_,_,_,_,_
PP4PB,Gnaphosidae,Micaria_fulgens,female,Iberian Pen.,5.380,_,_,_,_,_
PC3PI,Gnaphosidae,Micaria_guttigera,male,Iberian Pen.,3.940,_,_,_,_,_
PC4PA,Gnaphosidae,Micaria_guttigera,male,Iberian Pen.,6.240,_,_,_,_,_
PC4PB,Gnaphosidae,Micaria_guttigera,male,Iberian Pen.,5.280,_,_,_,_,_
PS2PG,Gnaphosidae,Micaria_guttigera,male,Iberian Pen.,3.250,_,_,_,_,_
PS1PD,Gnaphosidae,Micaria_guttigera,male,Iberian Pen.,4.840,2.380,1.580,1.100,1.500,0.520
PC2PL,Gnaphosidae,Micaria_guttigera,female,Iberian Pen.,4.560,_,_,_,_,_
PC4PB,Gnaphosidae,Micaria_guttigera,female,Iberian Pen.,4.690,2.050,1.300,1.050,0.970,0.350
PS1PJ,Gnaphosidae,Micaria_guttigera,female,Iberian Pen.,4.880,_,_,_,_,_
PS2PL,Gnaphosidae,Micaria_guttigera,female,Iberian Pen.,"4,88*",_,_,_,_,_
PS2PA,Gnaphosidae,Micaria_guttigera,female,Iberian Pen.,5.500,_,_,_,_,_
PP3S1N1,Linyphidae,Micrargus_apertus,male,Iberian Pen.,1.950,0.970,0.810,0.280,0.770,0.560
PA2PE,Linyphidae,Micrargus_laudatus,male,Iberian Pen.,1.770,0.830,0.670,0.370,0.620,0.220
PA1G1N1,Linyphidae,Micrargus_laudatus,female,Iberian Pen.,1.760,0.780,0.610,0.290,0.510,0.210
PC1PA,Linyphidae,Microctenonyx_subitaneus,male,Iberian Pen.,1.270,0.680,0.520,_,_,_
PC1PC,Linyphidae,Microctenonyx_subitaneus,male,Iberian Pen.,1.390,0.610,0.510,0.290,0.400,0.140
PC2PH,Linyphidae,Microctenonyx_subitaneus,male,Iberian Pen.,1.220,0.600,0.470,_,_,_
PC2PJ,Linyphidae,Microctenonyx_subitaneus,male,Iberian Pen.,_,0.600,0.480,_,_,_
PC2PK,Linyphidae,Microctenonyx_subitaneus,male,Iberian Pen.,1.300,0.640,0.510,_,_,_
PC1PC,Linyphidae,Microctenonyx_subitaneus,female,Iberian Pen.,1.470,0.720,0.520,0.260,0.420,0.170
PC1PJ,Linyphidae,Microctenonyx_subitaneus,female,Iberian Pen.,1.510,0.660,0.520,_,_,_
PC2PF,Linyphidae,Microctenonyx_subitaneus,female,Iberian Pen.,1.470,0.740,0.520,_,_,_
PC2PG,Linyphidae,Microctenonyx_subitaneus,female,Iberian Pen.,1.380,0.660,0.490,_,_,_
PC2PJ,Linyphidae,Microctenonyx_subitaneus,female,Iberian Pen.,1.490,0.650,0.540,_,_,_
4615,Linyphiidae,Microlinyphia_johnsoni,male,Canary Is.,2.824,1.353,0.941,0.364,2.412,0.333
4615,Linyphiidae,Microlinyphia_johnsoni,male,Canary Is.,3.412,1.235,0.824,0.227,2.118,0.242
4615,Linyphiidae,Microlinyphia_johnsoni,male,Canary Is.,3.647,1.412,0.941,0.273,2.118,0.258
4615,Linyphiidae,Microlinyphia_johnsoni,male,Canary Is.,3.353,1.235,0.824,0.273,1.941,0.273
4615,Linyphiidae,Microlinyphia_johnsoni,male,Canary Is.,2.941,1.176,0.824,0.227,2.118,0.242
4615,Linyphiidae,Microlinyphia_johnsoni,female,Canary Is.,3.471,1.353,1.059,0.364,2.294,0.348
4615,Linyphiidae,Microlinyphia_johnsoni,female,Canary Is.,2.882,1.235,0.941,0.318,1.941,0.258
4615,Linyphiidae,Microlinyphia_johnsoni,female,Canary Is.,2.941,1.235,0.882,0.273,1.882,0.258
4615,Linyphiidae,Microlinyphia_johnsoni,female,Canary Is.,3.235,1.353,1.000,0.273,2.000,0.288
4615,Linyphiidae,Microlinyphia_johnsoni,female,Canary Is.,2.765,1.176,0.941,0.273,1.824,0.227
PC2PL,Linyphidae,Microlinyphia_pusilla,female,Iberian Pen.,4.150,1.670,1.160,0.460,1.660,0.370
PS2PD,Sparassidae,Micrommata_aljibica,male,Iberian Pen.,7.660,3.700,3.070,1.630,3.060,0.640
PS2A2N2,Sparassidae,Micrommata_aljibica,female,Iberian Pen.,12.560,4.520,4.030,2.050,3.280,0.930
PO1S1D1,Sparassidae,Micrommata_virescens,male,Iberian Pen.,8.110,3.820,3.250,1.860,3.720,0.690
PP4A2N1,Sparassidae,Micrommata_virescens,female,Iberian Pen.,7.350,4.890,4.100,1.770,3.090,0.990
PA1PB,Linyphidae,Microneta_viaria,male,Iberian Pen.,2.390,1.260,0.940,_,_,_
PA1PC,Linyphidae,Microneta_viaria,male,Iberian Pen.,2.940,1.290,1.000,0.450,0.920,0.370
PA1PI,Linyphidae,Microneta_viaria,male,Iberian Pen.,2.350,1.200,0.950,_,_,_
PA2PF,Linyphidae,Microneta_viaria,male,Iberian Pen.,2.470,1.190,0.950,_,_,_
PA2PG,Linyphidae,Microneta_viaria,male,Iberian Pen.,2.920,1.460,1.130,_,_,_
PA1PB,Linyphidae,Microneta_viaria,female,Iberian Pen.,2.050,0.920,0.690,_,_,_
PA1PE,Linyphidae,Microneta_viaria,female,Iberian Pen.,2.440,0.890,0.680,0.220,0.660,0.140
PO1PA,Linyphidae,Microneta_viaria,female,Iberian Pen.,2.020,0.890,0.700,0.340,0.680,0.150
PO1PA,Linyphidae,Microneta_viaria,female,Iberian Pen.,2.320,0.880,0.740,_,_,_
PP1PG,Linyphidae,Microneta_viaria,female,Iberian Pen.,2.250,0.930,0.740,_,_,_
PP3A2N1,Linyphidae,Midia_midas,female,Iberian Pen.,_,1.170,0.960,0.390,1.440,0.290
PM2S1N2,Mimetidae,Mimetus_laevigatus,male,Iberian Pen.,4.450,2.340,1.900,1.500,4.700,0.250
PM2B1N2,Mimetidae,Mimetus_laevigatus,male,Iberian Pen.,4.550,_,_,_,_,_
PM2A2N1,Mimetidae,Mimetus_laevigatus,male,Iberian Pen.,4.500,_,_,_,_,_
PC3A2N1,Mimetidae,Mimetus_laevigatus,male,Iberian Pen.,3.640,_,_,_,_,_
PC4A1N2,Mimetidae,Mimetus_laevigatus,male,Iberian Pen.,4.250,_,_,_,_,_
PM2S1N1,Mimetidae,Mimetus_laevigatus,female,Iberian Pen.,4.300,_,_,_,_,_
PM2A2N2,Mimetidae,Mimetus_laevigatus,female,Iberian Pen.,4.500,_,_,_,_,_
PC2A2N1,Mimetidae,Mimetus_laevigatus,female,Iberian Pen.,4.350,2.590,1.860,1.580,4.200,0.270
PC2B1N1,Mimetidae,Mimetus_laevigatus,female,Iberian Pen.,5.310,_,_,_,_,_
PC4B1D1,Mimetidae,Mimetus_laevigatus,female,Iberian Pen.,3.600,_,_,_,_,_
442,Linyphiidae,Minicia_floresensis,male,Azores,1.794,0.824,0.588,0.147,0.559,0.121
442,Linyphiidae,Minicia_floresensis,male,Azores,1.676,0.794,0.647,0.147,0.441,0.121
442,Linyphiidae,Minicia_floresensis,male,Azores,1.676,0.765,0.618,0.147,0.471,0.121
442,Linyphiidae,Minicia_floresensis,male,Azores,1.618,0.735,0.647,0.147,0.441,0.106
442,Linyphiidae,Minicia_floresensis,male,Azores,1.735,0.853,0.647,0.147,0.471,0.121
PICO_1261_S2,Linyphiidae,Minicia_floresensis,female,Azores,1.875,0.750,0.600,0.300,0.500,0.117
PICO_1262_S1,Linyphiidae,Minicia_floresensis,female,Azores,1.969,_,_,_,_,_
442,Linyphiidae,Minicia_floresensis,female,Azores,2.176,0.794,0.647,0.235,0.588,0.121
442,Linyphiidae,Minicia_floresensis,female,Azores,2.088,0.765,0.647,0.235,0.559,0.121
442,Linyphiidae,Minicia_floresensis,female,Azores,1.529,0.647,0.618,0.206,0.559,0.121
442,Linyphiidae,Minicia_floresensis,female,Azores,1.559,0.676,0.618,0.206,_,0.121
442,Linyphiidae,Minicia_floresensis,female,Azores,1.882,0.735,0.647,0.206,0.529,0.121
11907,Linyphiidae,Minicia_gomerae,male,Canary Is.,2.450,_,_,_,_,_
11907,Linyphiidae,Minicia_gomerae,male,Canary Is.,2.180,_,_,_,_,_
11907,Linyphiidae,Minicia_gomerae,male,Canary Is.,2.180,_,_,_,_,_
12111,Linyphiidae,Minicia_gomerae,male,Canary Is.,2.230,0.950,0.770,0.180,0.820,0.140
12111,Linyphiidae,Minicia_gomerae,male,Canary Is.,2.320,_,_,_,_,_
12111,Linyphiidae,Minicia_gomerae,female,Canary Is.,2.450,_,_,_,_,_
12111,Linyphiidae,Minicia_gomerae,female,Canary Is.,2.410,_,_,_,_,_
12111,Linyphiidae,Minicia_gomerae,female,Canary Is.,2.410,0.950,0.820,0.180,0.950,0.150
12111,Linyphiidae,Minicia_gomerae,female,Canary Is.,2.270,_,_,_,_,_
12111,Linyphiidae,Minicia_gomerae,female,Canary Is.,2.590,_,_,_,_,_
PO1S1D1,Linyphidae,Minicia_marginella,female,Iberian Pen.,1.610,0.700,0.620,_,_,_
PO1S2D1,Linyphidae,Minicia_marginella,female,Iberian Pen.,1.730,0.700,0.640,_,_,_
PO1S2D1,Linyphidae,Minicia_marginella,female,Iberian Pen.,_,0.760,0.640,_,_,_
PO2S1N1,Linyphidae,Minicia_marginella,female,Iberian Pen.,_,0.720,0.650,0.420,0.700,0.090
PO2S1N2,Linyphidae,Minicia_marginella,female,Iberian Pen.,_,0.720,0.590,_,_,_
1958,Linyphiidae,Minicia_teneriffensis,male,Canary Is.,1.926,0.926,0.556,0.176,0.741,0.182
2966,Linyphiidae,Minicia_teneriffensis,male,Canary Is.,2.259,1.074,0.741,0.176,0.852,0.167
3378,Linyphiidae,Minicia_teneriffensis,male,Canary Is.,2.370,1.037,0.741,0.176,0.815,0.136
3378,Linyphiidae,Minicia_teneriffensis,male,Canary Is.,2.259,0.963,0.704,0.176,0.852,0.182
3378,Linyphiidae,Minicia_teneriffensis,male,Canary Is.,2.111,0.926,0.704,0.176,0.852,0.167
1391,Linyphiidae,Minicia_teneriffensis,female,Canary Is.,2.074,0.778,0.519,0.176,0.556,0.182
2966,Linyphiidae,Minicia_teneriffensis,female,Canary Is.,2.111,0.926,0.704,0.206,0.852,0.197
2966,Linyphiidae,Minicia_teneriffensis,female,Canary Is.,2.815,1.037,0.815,0.206,0.852,0.182
2966,Linyphiidae,Minicia_teneriffensis,female,Canary Is.,2.778,1.111,0.889,0.176,0.926,0.167
2966,Linyphiidae,Minicia_teneriffensis,female,Canary Is.,2.741,1.074,0.852,0.176,0.852,0.167
S04,Thomisidae,Misumena_spinifera,male,Madeira,2.727,_,_,_,_,_
S04,Thomisidae,Misumena_spinifera,male,Madeira,3.000,_,_,_,_,_
S01,Thomisidae,Misumena_spinifera,male,Madeira,2.864,1.182,1.273,0.364,1.864,0.152
S02,Thomisidae,Misumena_spinifera,female,Madeira,6.136,_,_,_,_,_
S04,Thomisidae,Misumena_spinifera,female,Madeira,5.409,_,_,_,_,_
3085,Thomisidae,Misumena_spinifera,female,Canary Is.,7.500,2.929,2.857,1.071,2.929,0.441
PC1B1D1,Thomisidae,Misumena_vatia,male,Iberian Pen.,3.390,1.440,1.430,0.500,1.760,0.130
PC4S2D1,Thomisidae,Misumena_vatia,male,Iberian Pen.,2.940,2.250,1.420,_,_,_
PM1S2D1,Thomisidae,Misumena_vatia,male,Iberian Pen.,3.490,1.620,1.610,_,_,_
PO2B1N2,Thomisidae,Misumena_vatia,male,Iberian Pen.,2.890,1.340,1.320,_,_,_
PS1A1N1,Thomisidae,Misumena_vatia,male,Iberian Pen.,3.490,1.510,1.620,_,_,_
PO2B2D1,Thomisidae,Misumena_vatia,female,Iberian Pen.,7.350,2.970,3.070,1.160,2.320,0.370
PP4S2D1,Thomisidae,Misumena_vatia,female,Iberian Pen.,8.010,2.940,2.870,_,_,_
PS2B2D1,Thomisidae,Misumena_vatia,female,Iberian Pen.,8.200,3.430,3.430,_,_,_
PO1PJ,Linyphidae,Monocephalus_fuscipes,male,Iberian Pen.,1.710,0.970,0.660,0.420,0.540,0.190
PO1PJ,Linyphidae,Monocephalus_fuscipes,male,Iberian Pen.,1.580,0.900,0.660,_,_,_
PO1PJ,Linyphidae,Monocephalus_fuscipes,male,Iberian Pen.,1.620,0.910,0.680,_,_,_
PP1PG,Linyphidae,Monocephalus_fuscipes,male,Iberian Pen.,_,0.880,0.670,_,_,_
PP1PL,Linyphidae,Monocephalus_fuscipes,male,Iberian Pen.,_,0.950,0.690,_,_,_
PO1PJ,Linyphidae,Monocephalus_fuscipes,female,Iberian Pen.,1.700,0.870,0.660,_,_,_
PO1PK,Linyphidae,Monocephalus_fuscipes,female,Iberian Pen.,1.900,0.810,0.640,0.340,0.490,0.200
PO1PL,Linyphidae,Monocephalus_fuscipes,female,Iberian Pen.,1.950,0.810,0.630,_,_,_
PS1S1D1,Mysmenidae,Mysmenidae26,female,Iberian Pen.,0.900,0.330,0.300,0.170,0.320,0.070
PO2PF,Nemesiidae,Nemesia14,female,Iberian Pen.,9.500,4.400,3.040,2.720,1.760,1.320
526,Salticidae,Neon_acoreensis,female,Azores,1.765,0.794,0.647,0.294,0.324,0.121
526,Salticidae,Neon_acoreensis,female,Azores,2.088,0.794,0.647,0.294,0.324,0.106
526,Salticidae,Neon_acoreensis,female,Azores,2.000,0.794,0.647,0.324,0.324,0.121
526,Salticidae,Neon_acoreensis,female,Azores,2.176,0.824,0.676,0.353,,0.121
526,Salticidae,Neon_acoreensis,female,Azores,1.882,0.794,0.618,0.324,0.324,0.121
PC1S2D1,Araneidae,Neoscona_adianta,male,Iberian Pen.,5.857,2.643,2.286,0.571,2.786,0.386
PC4A1N2,Araneidae,Neoscona_adianta,male,Iberian Pen.,5.214,2.500,1.929,0.571,2.714,0.341
PC3S1N1,Araneidae,Neoscona_adianta,male,Iberian Pen.,6.071,2.714,2.357,0.571,3.214,0.432
S02,Araneidae,Neoscona_crucifera,male,Madeira,7.714,3.929,3.357,0.786,3.929,0.606
S03,Araneidae,Neoscona_crucifera,male,Madeira,6.214,_,_,_,_,_
S02,Araneidae,Neoscona_crucifera,female,Madeira,9.214,_,_,_,_,_
S02,Araneidae,Neoscona_crucifera,female,Madeira,10.714,_,_,_,_,_
S02,Araneidae,Neoscona_crucifera,female,Madeira,10.357,4.214,3.643,1.071,4.286,0.652
S03,Araneidae,Neoscona_crucifera,female,Madeira,7.857,_,_,_,_,_
S03,Araneidae,Neoscona_crucifera,female,Madeira,4.706,_,_,_,_,_
PICO_579_S1,Linyphiidae,Neottiura_bimaculata,male,Azores,2.750,1.250,1.000,0.560,2.594,0.233
PICO_579_S2,Linyphiidae,Neottiura_bimaculata,male,Azores,2.344,_,_,_,_,_
PO2PJ,Theridiidae,Neottiura_bimaculata,male,Iberian Pen.,2.260,1.080,0.820,0.460,1.950,0.170
PO2S1N1,Theridiidae,Neottiura_bimaculata,male,Iberian Pen.,2.560,1.210,0.940,_,_,_
PO2S1N2,Theridiidae,Neottiura_bimaculata,female,Iberian Pen.,2.340,0.820,0.780,0.380,2.030,0.140
PP4S1N1,Theridiidae,Neottiura_bimaculata,female,Iberian Pen.,2.590,1.000,0.920,_,_,_
PP2A2N1,Linyphidae,Neriene_clathrata,female,Iberian Pen.,3.870,1.750,1.190,0.680,1.410,0.380
PP2PC,Linyphidae,Neriene_clathrata,female,Iberian Pen.,3.980,1.480,1.110,_,_,_
PP4A1N2,Linyphidae,Neriene_clathrata,female,Iberian Pen.,3.600,1.600,1.120,_,_,_
PP1A2N2,Linyphidae,Neriene_peltata,male,Iberian Pen.,3.260,1.240,1.030,_,_,_
PP1A1N1,Linyphidae,Neriene_peltata,female,Iberian Pen.,3.240,1.400,1.030,_,_,_
PP1S1N1,Linyphidae,Neriene_peltata,female,Iberian Pen.,2.970,1.290,1.000,_,_,_
PP1S1N2,Linyphidae,Neriene_peltata,female,Iberian Pen.,3.360,1.410,1.040,_,_,_
PP1S2D1,Linyphidae,Neriene_peltata,female,Iberian Pen.,3.420,1.370,1.040,0.440,1.600,0.250
PA2S1D1,Linyphidae,Neriene_radiata,male,Iberian Pen.,4.480,2.040,1.600,_,_,_
PA2S2D1,Linyphidae,Neriene_radiata,male,Iberian Pen.,4.820,2.230,1.680,_,_,_
PO2S1D1,Linyphidae,Neriene_radiata,male,Iberian Pen.,4.720,2.200,1.650,0.650,_,0.500
PO2S2D1,Linyphidae,Neriene_radiata,male,Iberian Pen.,4.800,2.180,1.640,0.620,3.340,0.450
PA2S1D1,Linyphidae,Neriene_radiata,female,Iberian Pen.,5.530,2.200,1.660,_,_,_
PO2A1N2,Linyphidae,Neriene_radiata,female,Iberian Pen.,4.750,1.920,1.440,0.640,3.650,0.390
PO2A1N2,Linyphidae,Neriene_radiata,female,Iberian Pen.,4.450,1.920,1.390,_,_,_
PO2A2N1,Linyphidae,Neriene_radiata,female,Iberian Pen.,4.190,1.840,1.350,_,_,_
PO2S1D1,Linyphidae,Neriene_radiata,female,Iberian Pen.,5.520,1.990,1.490,0.340,0.470,0.170
PS2S1N1,Dictynidae,Nigma_Dictynidae19,female,Iberian Pen.,3.750,_,_,_,_,_
PC4A1N1,Dictynidae,Nigma_Dictynidae19,female,Iberian Pen.,3.100,_,_,_,_,_
PM2B1D1,Dictynidae,Nigma_Dictynidae19,female,Iberian Pen.,3.400,1.270,1.150,0.850,1.000,0.240
PS2B1N2,Dictynidae,Nigma_Dictynidae19,female,Iberian Pen.,3.700,_,_,_,_,_
PC1S1D1,Dictynidae,Nigma_Dictynidae19,female,Iberian Pen.,3.100,_,_,_,_,_
PC4S2D1,Dictynidae,Nigma_gratiosa,male,Iberian Pen.,3.280,1.380,1.340,1.100,1.500,0.330
PC4S1N1,Dictynidae,Nigma_gratiosa,female,Iberian Pen.,4.430,1.480,1.360,1.050,1.100,0.320
PO2A1N1,Dictynidae,Nigma_puella,male,Iberian Pen.,2.080,_,_,_,_,_
PO2B1D1,Dictynidae,Nigma_puella,male,Iberian Pen.,2.000,0.830,0.720,0.620,0.720,0.190
PO2B1D1,Dictynidae,Nigma_puella,male,Iberian Pen.,1.640,_,_,_,_,_
PO2B2D1,Dictynidae,Nigma_puella,male,Iberian Pen.,2.080,_,_,_,_,_
PO2B1N1,Dictynidae,Nigma_puella,male,Iberian Pen.,1.760,_,_,_,_,_
PO2B1D1,Dictynidae,Nigma_puella,female,Iberian Pen.,_,_,_,_,_,_
PC4S1N1,Dictynidae,Nigma_puella,female,Iberian Pen.,2.480,0.970,0.950,0.580,0.500,0.180
PC3B2D1,Dictynidae,Nigma_puella,female,Iberian Pen.,2.080,_,_,_,_,_
PO2A1N2,Dictynidae,Nigma_puella,female,Iberian Pen.,2.040,_,_,_,_,_
PO2B2D1,Dictynidae,Nigma_puella,female,Iberian Pen.,2.960,_,_,_,_,_
PC3PH,Gnaphosidae,Nomisia_celerrima,male,Iberian Pen.,4.810,2.250,1.640,1.180,1.900,0.220
PA2A1N2,Gnaphosidae,Nomisia_celerrima,female,Iberian Pen.,5.440,1.850,1.310,1.050,1.080,0.180
PS1PL,Gnaphosidae,Nomisia_Gnaphosidae29,male,Iberian Pen.,4.450,_,_,_,_,_
PS1PL,Gnaphosidae,Nomisia_Gnaphosidae29,male,Iberian Pen.,5.060,_,_,_,_,_
PS1PK,Gnaphosidae,Nomisia_Gnaphosidae29,male,Iberian Pen.,4.750,_,_,_,_,_
PS1PK,Gnaphosidae,Nomisia_Gnaphosidae29,male,Iberian Pen.,4.400,_,_,_,_,_
PS1PI,Gnaphosidae,Nomisia_Gnaphosidae29,male,Iberian Pen.,4.700,2.030,1.530,1.100,1.780,0.270
PS1PL,Gnaphosidae,Nomisia_Gnaphosidae29,female,Iberian Pen.,6.800,2.630,1.980,1.200,1.430,0.280
PC4A1N2,Araneidae,Nuctenea_umbratica,male,Iberian Pen.,8.429,3.857,3.714,0.714,4.643,0.750
PA2A2N1,Araneidae,Nuctenea_umbratica,female,Iberian Pen.,10.143,3.643,3.571,0.857,3.500,0.795
PM1S1N1,Araneidae,Nuctenea_umbratica,female,Iberian Pen.,10.714,3.429,3.214,0.714,2.929,0.795
PC4A1N2,Araneidae,Nuctenea_umbratica,female,Iberian Pen.,11.364,4.429,4.286,0.929,3.786,1.023
PP2A1N1,Araneidae,Nuctenea_umbratica,female,Iberian Pen.,11.091,4.429,4.571,1.214,4.643,1.091
PP1A1N2,Araneidae,Nuctenea_umbratica,female,Iberian Pen.,12.273,4.643,4.357,1.071,4.286,1.023
PA1A1N1,Linyphidae,Obscuriphantes_obscurus,female,Iberian Pen.,_,0.810,0.690,_,_,_
PO1A2N1,Linyphidae,Obscuriphantes_obscurus,female,Iberian Pen.,_,0.880,0.750,0.340,_,0.180
PC1PB,Oecobiidae,Oecobius_machadoi,male,Iberian Pen.,1.780,0.770,0.870,0.480,_,0.050
PO2B1N2,Linyphidae,Oedothorax_apicatus,male,Iberian Pen.,_,0.880,0.730,0.430,0.650,0.160
233,Linyphiidae,Oedothorax_fuscus,male,Azores,1.705,0.795,0.636,0.295,0.591,0.167
233,Linyphiidae,Oedothorax_fuscus,male,Azores,1.614,0.636,0.614,0.318,0.568,0.167
233,Linyphiidae,Oedothorax_fuscus,male,Azores,1.795,0.773,0.659,0.318,0.682,0.167
233,Linyphiidae,Oedothorax_fuscus,male,Azores,1.455,0.591,0.591,0.295,0.568,0.152
233,Linyphiidae,Oedothorax_fuscus,male,Azores,1.614,0.682,0.636,0.250,0.614,0.152
PM1PH,Linyphidae,Oedothorax_fuscus,female,Iberian Pen.,2.550,1.160,0.930,0.430,0.700,0.240
233,Linyphiidae,Oedothorax_fuscus,female,Azores,2.818,0.977,0.864,0.318,0.750,0.227
233,Linyphiidae,Oedothorax_fuscus,female,Azores,2.318,0.886,0.795,0.341,0.682,0.197
233,Linyphiidae,Oedothorax_fuscus,female,Azores,2.545,0.977,0.864,0.364,0.795,0.212
233,Linyphiidae,Oedothorax_fuscus,female,Azores,2.705,0.977,0.841,0.318,0.773,0.212
233,Linyphiidae,Oedothorax_fuscus,female,Azores,2.591,0.955,0.841,0.273,0.773,0.227
PC4A1N2,Sparassidae,Olios_argelasius,male,Iberian Pen.,7.020,3.440,3.110,_,_,_
PO2A1N1,Sparassidae,Olios_argelasius,male,Iberian Pen.,8.220,4.020,3.760,1.270,4.550,0.590
12719,Sparassidae,Olios_canariensis ,male,Canary Is.,12.360,5.270,5.270,1.000,7.820,1.270
680,Sparassidae,Olios_canariensis ,female,Canary Is.,15.857,5.273,4.636,1.273,6.182,1.296
4186,Sparassidae,Olios_canariensis ,female,Canary Is.,10.909,5.182,5.182,1.364,5.364,1.222
4186,Sparassidae,Olios_canariensis ,female,Canary Is.,_,5.636,5.818,1.364,6.455,1.481
4454,Sparassidae,Olios_canariensis ,female,Canary Is.,19.143,7.091,7.182,1.455,8.091,2.185
4454,Sparassidae,Olios_canariensis ,female,Canary Is.,20.286,7.273,7.091,1.455,7.727,1.963
PC1PA,Oonopidae,Oonops_Oonopidae17,male,Iberian Pen.,_,0.900,0.750,0.270,_,0.290
PC1PJ,Oonopidae,Oonops_Oonopidae17,male,Iberian Pen.,1.940,0.900,0.730,0.240,0.900,0.150
PC1PA,Oonopidae,Oonops_Oonopidae17,female,Iberian Pen.,2.340,0.940,0.720,0.260,_,0.150
PC1PA,Oonopidae,Oonops_Oonopidae17,female,Iberian Pen.,_,0.900,0.740,_,_,_
PM1PI,Oonopidae,Oonops_Oonopidae22,female,Iberian Pen.,2.040,0.840,0.670,0.280,0.720,0.120
PS1PL,Oonopidae,Oonops_Oonopidae27,male,Iberian Pen.,_,0.560,0.480,0.200,_,_
PS1PC,Oonopidae,Oonops_Oonopidae27,female,Iberian Pen.,_,0.620,0.530,0.210,0.470,0.080
PS1PC,Oonopidae,Oonops_Oonopidae27,female,Iberian Pen.,_,0.630,0.550,_,_,_
PC3PE,Oonopidae,Oonops_Oonopidae44,female,Iberian Pen.,_,0.720,0.590,0.210,0.480,0.080
PP4PG,Oonopidae,Oonops_pulcher,male,Iberian Pen.,1.850,0.750,0.620,0.260,0.600,0.120
PP3A1N1,Oonopidae,Oonops_pulcher,female,Iberian Pen.,1.870,0.800,0.670,0.230,0.620,0.120
PM2B1N2,Oonopidae,Orchestina_Oonopidae34,male,Iberian Pen.,_,0.560,0.410,_,_,_
PM2S1N1,Oonopidae,Orchestina_Oonopidae34,male,Iberian Pen.,_,0.580,0.410,0.160,_,0.050
PC3A2N2,Oonopidae,Orchestina_Oonopidae34,female,Iberian Pen.,_,0.590,0.440,_,_,_
PM2A2N2,Oonopidae,Orchestina_Oonopidae34,female,Iberian Pen.,_,0.290,0.210,_,_,_
PM2B1N2,Oonopidae,Orchestina_Oonopidae34,female,Iberian Pen.,1.420,0.570,0.430,0.240,0.300,0.040
PM2B1N2,Oonopidae,Orchestina_Oonopidae34,female,Iberian Pen.,1.420,0.600,0.440,_,_,_
PS1B1N2,Oxyopidae,Oxyopes_heterophthalmus,female,Iberian Pen.,7.640,2.940,2.130,1.970,2.470,0.430
PS2S1N1,Oxyopidae,Oxyopes_heterophthalmus,female,Iberian Pen.,_,_,_,_,_,_
